LOB,CoverageCode,CoverageName,VariableCode,VariableName
WCMLine,WCMProRataCancellationEndorsement,Pro-Rata Cancellation Endorsement,WCMReason,Reason
WCMLine,WCMApprovedManagedCareProgramEndorsement,New Jersey Approved Managed Care Program Endorsement,WCMEffectiveDateProgram,Effective Date of Program
WCMLine,WCMApprovedManagedCareProgramEndorsement,New Jersey Approved Managed Care Program Endorsement,WCMNameOfApprovedManagedCareOrganization,Name Of Approved Managed Care Organization
WCMLine,WCMApprovedManagedCareProgramEndorsement,New Jersey Approved Managed Care Program Endorsement,WCMPremiumReductionPercentage,Premium Reduction Percentage
WCMLine,WCMFedEmployerIdentificationNumber,Federal Employer Identification Number,NA,NA
WCMLine,WCMSoleProprietorsAndPartnersCovEndorsement,New Jersey Sole Proprietors And Partners Coverage Endorsement,NA,NA
WCMLine,WCMClientCompanyExclEndorsement,Employee Leasing Company Client Company Exclusion Endorsement,NA,NA
WCMLine,WCMConfidentialityEndorsement,Oregon Confidentiality Endorsement,NA,NA
WCMLine,WCMLossConstant,Loss Constant,NA,NA
WCMLine,WCMContractingClassificationPremiumAdjustmentEndor,Contracting Classification Premium Adjustment Endorsement,NA,NA
WCMLine,WCMScheduleMod,Schedule Mod,WCMScheduleMod1,Factor
WCMLine,WCMAuditNoncomplianceCharge,Audit Noncompliance Charge,WCMManualPremium6,Charge
WCMLine,WCMAuditNoncomplianceCharge,Audit Noncompliance Charge,WCMAuditNoncomplianceChargeMultiplier01,Noncompliance Charge Multiplier (Default to Maximum Allowed by State)
WCMLine,WCMAuditNoncomplianceCharge,Audit Noncompliance Charge,WCMAuditNoncomplianceChargeMultiplier02,Noncompliance Charge Multiplier (Default to Maximum Allowed by State)
WCMLine,WCMAuditNoncomplianceCharge,Audit Noncompliance Charge,WCMAuditNoncomplianceChargeMultiplier03,Noncompliance Charge Multiplier (Default to Maximum Allowed by State)
WCMLine,WCMWorkStudy,Work Study,NA,NA
WCMLine,WCMContractingPremiumAdjustmentProgramEndorsement,Wisconsin Contractors Premium Adjustment Program Endorsement,NA,NA
WCMLine,WCMChurchEndorsement,Church Endorsement - Pennsylvania,NA,NA
WCMLine,WCMAdmiraltyIncrLmts,Admiralty Incr Limits,NA,NA
WCMLine,WCMExpenseConstantMinPremium,Expense Constant Minimum Premium,NA,NA
WCMLine,WCMClientCompanyEndorsement,Virginia Client Company Endorsement,NA,NA
WCMLine,WCMJointVentureExclCA,Joint Venture Exclusion,NA,NA
WCMLine,WCMOuterContinentalShelfLandsActCovEndorsementA,Outer Continental Shelf Lands Act Coverage Endorsement,WCMUnavailableState_ext16,Unavailable States
WCMLine,WCMOuterContinentalShelfLandsActCovEndorsementA,Outer Continental Shelf Lands Act Coverage Endorsement,WCMOuterContinentalDesc_Ext,Description and Location of Work
WCMLine,WCMOuterContinentalShelfLandsActCovEndorsementA,Outer Continental Shelf Lands Act Coverage Endorsement,WCMAvailableState_ext16,Available States
WCMLine,WCMORGroupSupplementalExperienceRatingPlan,Oregon Group Supplemental Experience Rating Plan,WCMFactor7,Factor
WCMLine,WCMMigrantAndSeasonalAgriculturalWorkerProtectionA,Migrant And Seasonal Agricultural Worker Protection Act Coverage Endorsement,WCMAvailableState_ext11,Available States
WCMLine,WCMMigrantAndSeasonalAgriculturalWorkerProtectionA,Migrant And Seasonal Agricultural Worker Protection Act Coverage Endorsement,WCMUnavailableState_ext11,Unavailable States
WCMLine,WCMPerOccurrenceBenefitsDedEndorsement,Kansas Per Occurrence Benefits Deductible Endorsement,WCMPerOccurence,Per Occurence
WCMLine,WCMDCPolicyholderSurcharge,WC Policyholder Surcharge,NA,NA
WCMLine,WCMPremiumDiscountWV,Premium Discount,WCMPremiumDiscountType1,Premium Discount Type of Carrier
WCMLine,WCMPremiumDiscountWV,Premium Discount,WCMPremiumDiscountTable1,Premium Discount Table
WCMLine,WCMEndorAgreementLimitingIns,Endorsement Agreement Limiting and Restricting This Insurance,WCMEndorAgreementLimitingInsLimResTerm,Enter the Limitation or Restriction
WCMLine,WCMLaborContractorExclClientEmployees,Labor Contractor Client as Named Insured - Exclusion of Client's Employees,NA,NA
WCMLine,WCMAuditNoncomplianceChargeEndorsement,Audit Noncompliance Charge Endorsement,WCMBasisOfAuditNoncomplianceCharge1,Basis of Audit Noncompliance Charge
WCMLine,WCMAuditNoncomplianceChargeEndorsement,Audit Noncompliance Charge Endorsement,WCMNoncomplianceChargeMultiplier,Maximum Audit Noncompliance Charge Multiplier
WCMLine,WCMNonappropriatedFundInstrumentalitiesActCovEndor,Nonappropriated Fund Instrumentalities Act Coverage Endorsement,WCMNonAppropriatedDescLoc_Ext,Description and Location of Work
WCMLine,WCMNonappropriatedFundInstrumentalitiesActCovEndor,Nonappropriated Fund Instrumentalities Act Coverage Endorsement,WCMAvailableState_ext15,Available States
WCMLine,WCMNonappropriatedFundInstrumentalitiesActCovEndor,Nonappropriated Fund Instrumentalities Act Coverage Endorsement,WCMUnavailableState_ext15,Unavailable States
WCMLine,WCMDesignOpsAtDesignLoc,Designated Operations at Designated Locations Coverage,WCMDesignOpsAtDesignLocPolicyholderAffirmed,Policyholder has affirmed in writing that other coverage is secured or the entity is lawfully uninsured
WCMLine,WCMDesignOpsAtDesignLoc,Designated Operations at Designated Locations Coverage,WCMDesignOpsAtDesignLocLiabilityLawfully,Liability is lawfully uninsured
WCMLine,WCMNVEmplLeasingClientExclEndorsement,Nevada Leased Employee Exclusion Endorsement For Policy Covering Nonleased And/Or Direct Employees Of A Client Company,NA,NA
WCMLine,WCMDomesticWorkRestrictEndorsement_Ext,New York Domestic Workers Restricted Endorsement,NA,NA
WCMLine,WCMContractorsSchedEndorsementCA,California Contractors Schedule Endorsement,NA,NA
WCMLine,WCMPartnerCvgJointNonSeverallyExcl,Partnership Coverage / Jointly and Not Severally Exclusion,NA,NA
WCMLine,WCMPremiumDiscount,Premium Discount,WCMPremiumDiscountType,Premium Discount Type of Carrier
WCMLine,WCMPremiumDiscount,Premium Discount,WCMPremiumDiscountIndicator,Premium Discount
WCMLine,WCMPremiumDiscount,Premium Discount,WCMPremiumDiscountTable,Premium Discount Table
WCMLine,WCMReligiousInstitutionEndorsement,Religious Institution Endorsement - Pennsylvania,NA,NA
WCMLine,WCMAmendatoryEndorsementFarmingOps,Amendatory Endorsement - Farming Operation - Delaware,NA,NA
WCMLine,WCMAssessmentSurcharge,WC Assessment Surcharge,NA,NA
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMReinstatement,Reinstatement
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMPolicyEffectiveDate1,Policy Effective Date
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMProducersName1,Producer's Name
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMTerminationCancellationNonrenewal,Termination/Cancellation/Nonrenewal
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMFlat,Flat
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMProrata,Pro Rata
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMIssuingOffice,Issuing Office
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMDateEffective,Effective
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMInsuredName1,Insured's Name
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMReasons,Reasons
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMDtEffective,Effective
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMInsuredAddress1,Insured's Address
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMCarrierNameCode,Carrier Name/Carrier Code
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMPolicyExpirationDate1,Policy Expiration Date
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMIssueDate,Issue Date
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMFedIDNumber,Federal ID No.
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMNonrenewed,Nonrenewed
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMShortRate,Short Rate
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMPolicyNumber1,Policy Number
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice,WCMTerminatedCancelled,Terminated/Cancelled
WCMLine,WCMWorkplaceSafetyProgramEndorsement,Utah Workplace Safety Program Endorsement,WCMIncreasePercentage,Increase Percentage
WCMLine,WCMWorkplaceSafetyProgramEndorsement,Utah Workplace Safety Program Endorsement,WCMIncreasePercentageDirectTerm_Ext,Increase Percentage
WCMLine,WCMNonratableIncrLmtsBalanceToMin,Nonratable Incr Limits Balance To Minimum,NA,NA
WCMLine,WCMWorkPlaceSafetyProgram_Ext,Compulsory Workplace Safety Program Surcharge,WCMWorkPlaceSafetyFactor_Ext,Factor
WCMLine,WCMStateAdmiraltyIncrLmtsMinPremium,State Admiralty Incr Limits Minimum Premium,NA,NA
WCMLine,WCMKYSpecialFundAssessment,KY Special Fund Assessment,NA,NA
WCMLine,WCMCOPremiumCreditForCertifiedRiskManageProgramsEn,Colorado Premium Credit for Certified Risk Management Programs Endorsement,NA,NA
WCMLine,WCMDrugFreeWorkplace,Drug Free Workplace,WCMFactor8,Factor
WCMLine,WCMPremiumReductionProgram,Premium Reduction Program,NA,NA
WCMLine,WCMSupplementaryDiseasePremium,Supplementary Disease Premium,WCMSubjectPayroll1,Payroll Subject to Disease
WCMLine,WCMSupplementaryDiseasePremium,Supplementary Disease Premium,WCMSupplementaryDiseaseType,Supplementary Disease Loading
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement,Waiver of Our Right to Recover from Others Endorsement,WCMWaiverType,Waiver Type
WCMLine,WCMLaborContractorExclEndorsement1,Labor Contractor Exclusion Endorsement,WCMAvailableState_ext33,Available States
WCMLine,WCMConstructionClass,Construction Class,WCMFactor4,Factor
WCMLine,WCMDesigWorkCancelEndors_Ext,New York Designated Workplace Cancelation Endorsement and Notice of Partial Cancelation,NA,NA
WCMLine,WCMQualifyingClass,Qualifying Class,WCMFactor1,Factor
WCMLine,WCMDrugFreeWorkplaceForCoalMines,Drug Free Workplace For Coal Mines,NA,NA
WCMLine,WCMSolePartnerMemberLLCCovEndo_Ext,"New York Sole Proprietors, Partners and Members of LLC's, PSLC's and RLLP's Coverage Endorsement",NA,NA
WCMLine,WCMStatutoryEmployerEndorsement,Statutory Employer Endorsement - Pennsylvania,NA,NA
WCMLine,WCMConsumerDirectedProgramEndorsement,New Mexico Consumer Directed Program Endorsement,NA,NA
WCMLine,WCMVolunteerWorkersCovEndorsement,Texas Volunteer Workers Coverage Endorsement,NA,NA
WCMLine,WCMConstructionClassificationPremiumReductionProgr,Maryland Construction Classification Premium Reduction Program Endorsement,NA,NA
WCMLine,WCMProfessionalEmployerOrganizationExecutiveEmplIn,Texas Professional Employer Organization (PEO) Executive Employee Inclusion Endorsement,NA,NA
WCMLine,WCMExecOfficeHoldHarmless_Ext,New York Executive Officers Hold Harmless Endorsement,NA,NA
WCMLine,WCMPendingRateChangeEndorsement,Pending Rate Change Endorsement,WCMUnavailableState_ext19,Unavailable States
WCMLine,WCMPendingRateChangeEndorsement,Pending Rate Change Endorsement,WCMAvailableState_ext19,Available States
WCMLine,WCMClassTransportationWagesMaintenanceAndCure,Class Transportation Wages Maintenance And Cure,WCMTWMCAdjustment,"Transportation, Wages, Maintenance and Cure Coverage"
WCMLine,WCMClassTransportationWagesMaintenanceAndCure,Class Transportation Wages Maintenance And Cure,WCMTWMCRate,"Transportation, Wages, Maintenance and Cure Increase Percentage"
WCMLine,WCMLaborContractor_Ext,Labor Contractor,NA,NA
WCMLine,WCMSouthDakotaPolicyFee,South Dakota Policy Fee,NA,NA
WCMLine,WCMLongshoreAndHarborWCMensationActRateChangeEndor,Longshore And Harbor Workers' Compensation Act Rate Change Endorsement,WCMUnavailableState_ext9,Unavailable States
WCMLine,WCMLongshoreAndHarborWCMensationActRateChangeEndor,Longshore And Harbor Workers' Compensation Act Rate Change Endorsement,WCMAvailableState_ext9,Available States
WCMLine,WCMEmployerAssessment,Employer Assessment,NA,NA
WCMLine,WCMWCAdministrationRevolvingFundCA,WC Administration Revolving Fund,NA,NA
WCMLine,WCMRateDeviationAdjustment,Rate Deviation Adjustment,NA,NA
WCMLine,WCMStayAtWorkReturnToWorkSurcharge,Stay At Work Return To Work Surcharge,NA,NA
WCMLine,WCMBenefitsClaimAndAggDedEndorsement,Massachusetts Benefits Claim And Aggregate Deductible Endorsement,WCMPremiumReductionPercentage1,Premium Reduction Percentage
WCMLine,WCMBenefitsClaimAndAggDedEndorsement,Massachusetts Benefits Claim And Aggregate Deductible Endorsement,WCMBasisForAggLimit,Basis for the Aggregate Limit at Policy Inception
WCMLine,WCMBenefitsClaimAndAggDedEndorsement,Massachusetts Benefits Claim And Aggregate Deductible Endorsement,WCMAggDedAmount,Aggregate Deductible Amount
WCMLine,WCMEmplLeasingCompanyClientTerminationEndorsement,Wisconsin Employee Leasing Company Client Termination Endorsement - Master Policy,WCMEffectiveDt1,Date
WCMLine,WCMEmplLeasingCompanyClientTerminationEndorsement,Wisconsin Employee Leasing Company Client Termination Endorsement - Master Policy,WCMNameID,Name of Client
WCMLine,WCMEmplLeasingCompanyClientTerminationEndorsement,Wisconsin Employee Leasing Company Client Termination Endorsement - Master Policy,WCMCompanyName,Name of ELC
WCMLine,WCMClassOilGasOrOtherMineralOpsOnOrOverWater,Class Oil Gas Or Other Mineral Operations On Or Over Water,WCMSubjectPayroll3,Subject Payroll
WCMLine,WCMClassOilGasOrOtherMineralOpsOnOrOverWater,Class Oil Gas Or Other Mineral Operations On Or Over Water,WCMARateOil,"Oil, Gas or Other Mineral Operations Increase Rate"
WCMLine,WCMOtherStatesInsurance1,Other States Insurance (Section 3C),WCMListedStates1,Listed States
WCMLine,WCMOtherStatesInsurance1,Other States Insurance (Section 3C),WCMOtherStates1,Other States
WCMLine,WCMOtherStatesInsurance1,Other States Insurance (Section 3C),WCMStatesExcepted1,States Excepted
WCMLine,WCMTerrRiskInsuranceProgramReauthorizationActDisc2,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement,NA,NA
WCMLine,WCMProfessionalAssociationActEndorsement,Professional Association Act Endorsement - Pennsylvania,NA,NA
WCMLine,WCMChangeOfInsCarrierNameEndorsement,Wisconsin Change of Insurance Carrier Name Endorsement,NA,NA
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMDiseaseChargeLoadingSelection,Coal Mine Disease Charge
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMMiningClassCode,Mining Class Code
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMDiseaseChargeLoading,Coal Mine Disease Charge
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMSubjectPayroll2,Subject Payroll
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMAdditionalFederalODExposure,Additional Federal OD Exposure
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMManualPremium,Manual Premium Adjustment
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium,WCMMiningCoverage,Mining Coverage
WCMLine,WCMProfessionalEmployerOrganizationExtensionEndors,Professional Employer Organization (PEO) Extension Endorsement,NA,NA
WCMLine,WCMEmployersLiabIncrLmtsBalanceToMin,Employers Liability Incr Limits Balance To Minimum,NA,NA
WCMLine,WCMNaturalDisastersAndIndustrialAccidents_Ext,Natural Disasters and Catastrophic Industrial Accidents,NA,NA
WCMLine,WCMLaborContractorExclEndorsement,Labor Contractor Exclusion Endorsement,WCMAvailableState_ext31,Available States
WCMLine,WCMProfessionalEmployerOrganizationMultipleCoordin,Professional Employer Organization (PEO) Multiple Coordinated Policy Endorsement For Policy Covering The PEO,NA,NA
WCMLine,WCMEmployerAssessmentEndorsement,Pennsylvania Employer Assessment Endorsement,WCMEmployerAssessmentFactor,EMPLOYER ASSESSMENT FACTOR
WCMLine,WCMEmployerAssessmentEndorsement,Pennsylvania Employer Assessment Endorsement,WCMEmployerAssessment1,EMPLOYER ASSESSMENT
WCMLine,WCMFedPremiumDiscount,Federal Premium Discount,NA,NA
WCMLine,WCMFedCoalMineHealthAndSafetyActCovEndorsement_Ext,Federal Mine Safety And Health Act Coverage Endorsement,WCMUnavailableState_ext4,Unavailable States
WCMLine,WCMFedCoalMineHealthAndSafetyActCovEndorsement_Ext,Federal Mine Safety And Health Act Coverage Endorsement,WCMAvailableState_ext4,Available States
WCMLine,WCMILCommOprFundSurcharge,IL WC Commission Operations Fund Surcharge,NA,NA
WCMLine,WCMForeignCovEndorsement_Ext,Foreign Coverage Endorsement,WCMFCEPremium,Premium
WCMLine,WCMFarmScheduleEndorsementCA,Farm Schedule Endorsement - California,NA,NA
WCMLine,WCMNonInsuranceGoodsAndOrServicesEndorsement,North Carolina Non-Insurance Goods And/Or Services Endorsement,WCMSchedule,Goods and/or Services
WCMLine,WCMRuralElectrificationAdministrationEndorsement,Rural Electrification Administration Endorsement,NA,NA
WCMLine,WCMAllRiskAdjustmentProgram,All Risk Adjustment Program,WCMFactor6,Factor
WCMLine,WCMExperienceRatingModificationEndorsement,Experience Rating Modification Factor Endorsement,NA,NA
WCMLine,WCMSafeWorkplaceProgramEndorsement,District Of Columbia Safe Workplace Program Endorsement,NA,NA
WCMLine,WCMDesignOpsAtDesignLocExcl,Designated Operations at Designated Locations Exclusion,WCMDesignOpsAtDesignLocExclLiabilityLawfully,Liability is lawfully uninsured
WCMLine,WCMDesignOpsAtDesignLocExcl,Designated Operations at Designated Locations Exclusion,WCMDesignOpsAtDesignLocExclPolicyholderAffirmed,Policyholder has affirmed in writing that other coverage is secured or the entity is lawfully uninsured
WCMLine,WCMTNConsentToRateEndorsment_Ext,Tennessee Consent to Rate Endorsement,WCMTNCTRReason_Ext,Reason
WCMLine,WCMCertifiedLoggersPremiumCredit,Certified Loggers Premium Credit,NA,NA
WCMLine,WCMEmplLeasingLaborContractorEndorsement,Employee Leasing Labor Contractor Endorsement,NA,NA
WCMLine,WCMEmplLeasing,Employee Leasing,WCMManualPremium5,Manual Premium
WCMLine,WCMSmallDed,Small Deductible,WCMDedAmt,Deductible Amount
WCMLine,WCMSmallDed,Small Deductible,WCMLossAdjExpenseIncluded1,Loss Adjustment Expenses Included
WCMLine,WCMSmallDed,Small Deductible,WCMAggDed,Aggregate Deductible
WCMLine,WCMSmallDed,Small Deductible,WCMMedicalDedAmount2,Medical Deductible Amount
WCMLine,WCMSmallDed,Small Deductible,WCMDedAmount,Amount
WCMLine,WCMSmallDed,Small Deductible,WCMNegotiatedDedAmount,Negotiated Deductible Amount
WCMLine,WCMSmallDed,Small Deductible,WCMNegotiatedDedFactor,Negotiated Deductible Factor
WCMLine,WCMSmallDed,Small Deductible,WCMFixedExpenseCharge,Fixed Expense Charge
WCMLine,WCMSmallDed,Small Deductible,WCMClaimDed,Claim Deductible
WCMLine,WCMSmallDed,Small Deductible,WCMIndemnityDedAmount1,Indemnity Deductible Amount
WCMLine,WCMSmallDed,Small Deductible,WCMDedType,Type
WCMLine,WCMExclOfEmplsEndorsement,Exclusion Of Employees Endorsement - Pennsylvania,WCMStatutoryEmployer_Ext,Statutory Employer
WCMLine,WCMExclOfEmplsEndorsement,Exclusion Of Employees Endorsement - Pennsylvania,WCMOpsDescription,Description of Operations
WCMLine,WCMEmployersLiabIncrLmts,Employers Liab Incr Limits,NA,NA
WCMLine,ILKotecki,Illinois Kotecki Waiver,NA,NA
WCMLine,WCMLmtdOtherStatesInsuranceEndorsement,Limited Other States Benefit Endorsement,NA,NA
WCMLine,WCMEmplLeasingEndorsement,Employee Leasing Endorsement,NA,NA
WCMLine,WCMMOAdministrativeSurcharge,WC Administrative Surcharge,NA,NA
WCMLine,WCMManagedCareEndorsement,Managed Care Endorsement,NA,NA
WCMLine,WCMOffAndDirectorsCovExclEndorsementCA,California Officers and Directors Coverage/Exclusion Endorsement,NA,NA
WCMLine,WCMPendingPremiumChangeEndorsement,Massachusetts Pending Premium Change Endorsement,NA,NA
WCMLine,WCMJointVentureAsInsuredEndorsement,Joint Venture As Insured Endorsement,WCMUnavailableState_ext6,Unavailable States
WCMLine,WCMJointVentureAsInsuredEndorsement,Joint Venture As Insured Endorsement,WCMAvailableState_ext6,Available States
WCMLine,WCMWCMensationAndEmployersLiabCovForResidenceEmpls,Workers Compensation And Employers Liability Coverage For Residence Employees Endorsement,NA,NA
WCMLine,WCMEmployersLiab,Employers Liability,NA,NA
WCMLine,WCMFranchisorFranchiseeCovEndorsement,Wisconsin Franchisor - Franchisee Coverage Endorsement,NA,NA
WCMLine,WCMDesigSiteExclEndors_Ext,Designated Construction Site Exclusion Endorsement - MI,NA,NA
WCMLine,WCMDomesticAndAgriculturalWorkersExclEndorsement,Domestic And Agricultural Workers Exclusion Endorsement,WCMAvailableState_ext28,Available States
WCMLine,WCMConstructionClassificationPremiumAdjustmentEndo,Construction Classification Premium Adjustment Endorsement,NA,NA
WCMLine,WCMWVBroadFormEmployersLiabilityEndorsement,West Virginia Broad Form Employers Liability Endorsement,NA,NA
WCMLine,WCMLmtdMaritimeCovEndorsement,Limited Maritime Coverage Endorsement,NA,NA
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfClaimsInMostRecentYear,Number of Claims in Most Recent Year
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfClaims,Number of Claims
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfClaimsPaid,Number of Claims Paid
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfEmplLostTimeInjuries,Number of Employee Lost-Time Injuries
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfLostTimeClaims,Number of Lost Time Claims
WCMLine,WCMMeritRating,Merit Rating,WCMNumberOfClaimsLossRatio,Number of Claims/Loss Ratio
WCMLine,WCMAmendatoryEndorsement1,Amendatory Endorsement,WCMAmendatoryEndorsementCharge,Noncompliance Charge Multiplier (Default to Maximum Allowed by State)
WCMLine,WCMTerrRiskInsuranceProgramReauthorizationActDiscl,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement,NA,NA
WCMLine,WCMApplicationOfWCMensationInsuranceEndorsement,Connecticut Application Of Workers Compensation Insurance Endorsement,NA,NA
WCMLine,WCMEmplLeasingClientExclEndorsement,Employee Leasing Client Exclusion Endorsement,WCMAvailableState_ext29,Available States
