LOB,CoverageCode,CoverageName
WCMLine,WCMAuditNoncomplianceCharge,Audit Noncompliance Charge
WCMLine,WCMWorkStudy,Work Study
WCMLine,WCMChurchEndorsement,Church Endorsement - Pennsylvania
WCMLine,WCMContractingPremiumAdjustmentProgramEndorsement,Wisconsin Contractors Premium Adjustment Program Endorsement
WCMLine,WCMExpenseConstantMinPremium,Expense Constant Minimum Premium
WCMLine,WCMAdmiraltyIncrLmts,Admiralty Incr Limits
WCMLine,WCMClientCompanyEndorsement,Virginia Client Company Endorsement
WCMLine,WCMJointVentureExclCA,Joint Venture Exclusion
WCMLine,WCMORGroupSupplementalExperienceRatingPlan,Oregon Group Supplemental Experience Rating Plan
WCMLine,WCMOuterContinentalShelfLandsActCovEndorsementA,Outer Continental Shelf Lands Act Coverage Endorsement
WCMLine,WCMMigrantAndSeasonalAgriculturalWorkerProtectionA,Migrant And Seasonal Agricultural Worker Protection Act Coverage Endorsement
WCMLine,WCMPerOccurrenceBenefitsDedEndorsement,Kansas Per Occurrence Benefits Deductible Endorsement
WCMLine,WCMDCPolicyholderSurcharge,WC Policyholder Surcharge
WCMLine,WCMPremiumDiscountWV,Premium Discount
WCMLine,WCMEndorAgreementLimitingIns,Endorsement Agreement Limiting and Restricting This Insurance
WCMLine,WCMLaborContractorExclClientEmployees,Labor Contractor Client as Named Insured - Exclusion of Client's Employees
WCMLine,WCMAuditNoncomplianceChargeEndorsement,Audit Noncompliance Charge Endorsement
WCMLine,WCMNonappropriatedFundInstrumentalitiesActCovEndor,Nonappropriated Fund Instrumentalities Act Coverage Endorsement
WCMLine,WCMDesignOpsAtDesignLoc,Designated Operations at Designated Locations Coverage
WCMLine,WCMNVEmplLeasingClientExclEndorsement,Nevada Leased Employee Exclusion Endorsement For Policy Covering Nonleased And/Or Direct Employees Of A Client Company
WCMLine,WCMContractorsSchedEndorsementCA,California Contractors Schedule Endorsement
WCMLine,WCMDomesticWorkRestrictEndorsement_Ext,New York Domestic Workers Restricted Endorsement
WCMLine,WCMPartnerCvgJointNonSeverallyExcl,Partnership Coverage / Jointly and Not Severally Exclusion
WCMLine,WCMPremiumDiscount,Premium Discount
WCMLine,WCMReligiousInstitutionEndorsement,Religious Institution Endorsement - Pennsylvania
WCMLine,WCMAmendatoryEndorsementFarmingOps,Amendatory Endorsement - Farming Operation - Delaware
WCMLine,WCMAssessmentSurcharge,WC Assessment Surcharge
WCMLine,WCMPolicyTerminationCancellationReinstatementNotic,Policy Termination/Cancellation/Reinstatement Notice
WCMLine,WCMWorkplaceSafetyProgramEndorsement,Utah Workplace Safety Program Endorsement
WCMLine,WCMNonratableIncrLmtsBalanceToMin,Nonratable Incr Limits Balance To Minimum
WCMLine,WCMWorkPlaceSafetyProgram_Ext,Compulsory Workplace Safety Program Surcharge
WCMLine,WCMStateAdmiraltyIncrLmtsMinPremium,State Admiralty Incr Limits Minimum Premium
WCMLine,WCMKYSpecialFundAssessment,KY Special Fund Assessment
WCMLine,WCMCOPremiumCreditForCertifiedRiskManageProgramsEn,Colorado Premium Credit for Certified Risk Management Programs Endorsement
WCMLine,WCMSafetyGrpDividendPlan_Ext,Safety Group Dividend Plan
WCMLine,WCMDrugFreeWorkplace,Drug Free Workplace
WCMLine,WCMPremiumReductionProgram,Premium Reduction Program
WCMLine,WCMSupplementaryDiseasePremium,Supplementary Disease Premium
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement,Waiver of Our Right to Recover from Others Endorsement
WCMLine,WCMLaborContractorExclEndorsement1,Labor Contractor Exclusion Endorsement
WCMLine,WCMConstructionClass,Construction Class
WCMLine,WCMDesigWorkCancelEndors_Ext,New York Designated Workplace Cancelation Endorsement and Notice of Partial Cancelation
WCMLine,WCMQualifyingClass,Qualifying Class
WCMLine,WCMDrugFreeWorkplaceForCoalMines,Drug Free Workplace For Coal Mines
WCMLine,WCMSolePartnerMemberLLCCovEndo_Ext,"New York Sole Proprietors, Partners and Members of LLC's, PSLC's and RLLP's Coverage Endorsement"
WCMLine,WCMConsumerDirectedProgramEndorsement,New Mexico Consumer Directed Program Endorsement
WCMLine,WCMStatutoryEmployerEndorsement,Statutory Employer Endorsement - Pennsylvania
WCMLine,WCMVolunteerWorkersCovEndorsement,Texas Volunteer Workers Coverage Endorsement
WCMLine,WCMProfessionalEmployerOrganizationExecutiveEmplIn,Texas Professional Employer Organization (PEO) Executive Employee Inclusion Endorsement
WCMLine,WCMConstructionClassificationPremiumReductionProgr,Maryland Construction Classification Premium Reduction Program Endorsement
WCMLine,WCMExecOfficeHoldHarmless_Ext,New York Executive Officers Hold Harmless Endorsement
WCMLine,WCMPendingRateChangeEndorsement,Pending Rate Change Endorsement
WCMLine,WCMShortRateCancellationPenalty,Short Rate Cancellation Penalty
WCMLine,WCMClassTransportationWagesMaintenanceAndCure,Class Transportation Wages Maintenance And Cure
WCMLine,WCMLaborContractor_Ext,Labor Contractor
WCMLine,WCMSouthDakotaPolicyFee,South Dakota Policy Fee
WCMLine,WCMLongshoreAndHarborWCMensationActRateChangeEndor,Longshore And Harbor Workers' Compensation Act Rate Change Endorsement
WCMLine,WCMEmployerAssessment,Employer Assessment
WCMLine,WCMWCAdministrationRevolvingFundCA,WC Administration Revolving Fund
WCMLine,WCMRateDeviationAdjustment,Rate Deviation Adjustment
WCMLine,WCMStayAtWorkReturnToWorkSurcharge,Stay At Work Return To Work Surcharge
WCMLine,WCMEmplLeasingCompanyLeasedEmplInclusionEndorsemen,Wisconsin Employee Leasing Company Leased Employee Inclusion Endorsement
WCMLine,WCMEmplLeasingCompanyClientTerminationEndorsement,Wisconsin Employee Leasing Company Client Termination Endorsement - Master Policy
WCMLine,WCMBenefitsClaimAndAggDedEndorsement,Massachusetts Benefits Claim And Aggregate Deductible Endorsement
WCMLine,WCMClassOilGasOrOtherMineralOpsOnOrOverWater,Class Oil Gas Or Other Mineral Operations On Or Over Water
WCMLine,WCMOtherStatesInsurance1,Other States Insurance (Section 3C)
WCMLine,WCMTerrRiskInsuranceProgramReauthorizationActDisc2,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement
WCMLine,WCMProfessionalAssociationActEndorsement,Professional Association Act Endorsement - Pennsylvania
WCMLine,WCMChangeOfInsCarrierNameEndorsement,Wisconsin Change of Insurance Carrier Name Endorsement
WCMLine,WCMCoalMineDiseaseChargePremium,Coal Mine Disease Charge Premium
WCMLine,WCMProfessionalEmployerOrganizationExtensionEndors,Professional Employer Organization (PEO) Extension Endorsement
WCMLine,WCMEmployersLiabIncrLmtsBalanceToMin,Employers Liability Incr Limits Balance To Minimum
WCMLine,WCMNaturalDisastersAndIndustrialAccidents_Ext,Natural Disasters and Catastrophic Industrial Accidents
WCMLine,WCMLaborContractorExclEndorsement,Labor Contractor Exclusion Endorsement
WCMLine,WCMProfessionalEmployerOrganizationMultipleCoordin,Professional Employer Organization (PEO) Multiple Coordinated Policy Endorsement For Policy Covering The PEO
WCMLine,WCMEmployerAssessmentEndorsement,Pennsylvania Employer Assessment Endorsement
WCMLine,WCMFedPremiumDiscount,Federal Premium Discount
WCMLine,WCMFedCoalMineHealthAndSafetyActCovEndorsement_Ext,Federal Mine Safety And Health Act Coverage Endorsement
WCMLine,WCMILCommOprFundSurcharge,IL WC Commission Operations Fund Surcharge
WCMLine,WCMFarmScheduleEndorsementCA,Farm Schedule Endorsement - California
WCMLine,WCMForeignCovEndorsement_Ext,Foreign Coverage Endorsement
WCMLine,WCMNonInsuranceGoodsAndOrServicesEndorsement,North Carolina Non-Insurance Goods And/Or Services Endorsement
WCMLine,WCMRuralElectrificationAdministrationEndorsement,Rural Electrification Administration Endorsement
WCMLine,WCMAllRiskAdjustmentProgram,All Risk Adjustment Program
WCMLine,WCMSafeWorkplaceProgramEndorsement,District Of Columbia Safe Workplace Program Endorsement
WCMLine,WCMExperienceRatingModificationEndorsement,Experience Rating Modification Factor Endorsement
WCMLine,WCMDesignOpsAtDesignLocExcl,Designated Operations at Designated Locations Exclusion
WCMLine,WCMTNConsentToRateEndorsment_Ext,Tennessee Consent to Rate Endorsement
WCMLine,WCMCertifiedLoggersPremiumCredit,Certified Loggers Premium Credit
WCMLine,WCMEmplLeasingLaborContractorEndorsement,Employee Leasing Labor Contractor Endorsement
WCMLine,WCMEmplLeasing,Employee Leasing
WCMLine,WCMSmallDed,Small Deductible
WCMLine,WCMExclOfEmplsEndorsement,Exclusion Of Employees Endorsement - Pennsylvania
WCMLine,ILKotecki,Illinois Kotecki Waiver
WCMLine,WCMEmployersLiabIncrLmts,Employers Liab Incr Limits
WCMLine,WCMLmtdOtherStatesInsuranceEndorsement,Limited Other States Benefit Endorsement
WCMLine,WCMEmplLeasingEndorsement,Employee Leasing Endorsement
WCMLine,WCMMOAdministrativeSurcharge,WC Administrative Surcharge
WCMLine,WCMManagedCareEndorsement,Managed Care Endorsement
WCMLine,WCMOffAndDirectorsCovExclEndorsementCA,California Officers and Directors Coverage/Exclusion Endorsement
WCMLine,WCMPendingPremiumChangeEndorsement,Massachusetts Pending Premium Change Endorsement
WCMLine,WCMJointVentureAsInsuredEndorsement,Joint Venture As Insured Endorsement
WCMLine,WCMWCMensationAndEmployersLiabCovForResidenceEmpls,Workers Compensation And Employers Liability Coverage For Residence Employees Endorsement
WCMLine,WCMEmployersLiab,Employers Liability
WCMLine,WCMFranchisorFranchiseeCovEndorsement,Wisconsin Franchisor - Franchisee Coverage Endorsement
WCMLine,WCMDesigSiteExclEndors_Ext,Designated Construction Site Exclusion Endorsement - MI
WCMLine,WCMDomesticAndAgriculturalWorkersExclEndorsement,Domestic And Agricultural Workers Exclusion Endorsement
WCMLine,WCMConstructionClassificationPremiumAdjustmentEndo,Construction Classification Premium Adjustment Endorsement
WCMLine,WCMWVBroadFormEmployersLiabilityEndorsement,West Virginia Broad Form Employers Liability Endorsement
WCMLine,WCMLmtdMaritimeCovEndorsement,Limited Maritime Coverage Endorsement
WCMLine,WCMMeritRating,Merit Rating
WCMLine,WCMAmendatoryEndorsement1,Amendatory Endorsement
WCMLine,WCMApplicationOfWCMensationInsuranceEndorsement,Connecticut Application Of Workers Compensation Insurance Endorsement
WCMLine,WCMTerrRiskInsuranceProgramReauthorizationActDiscl,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement
WCMLine,WCMEmplLeasingClientExclEndorsement,Employee Leasing Client Exclusion Endorsement
WCMLine,WCMInsolventInsurerRatingAdjPlanEndorsement,Insolvent Insurer Rating Adjustment Plan Endorsement
WCMLine,WCMEmplLeasingCompanyExclEndorsement,Employee Leasing Company Exclusion Endorsement
WCMLine,WCMConsentToRate,Consent to Rate
WCMLine,WCMRejectionOfCovEndorsement,Kentucky Rejection Of Coverage Endorsement
WCMLine,WCMNoticeOfCancellationOrMaterialCovChange,Notice Of Cancellation Or Material Coverage Change To Designated Governmental Entity Endorsement
WCMLine,WCMEmplLeasingProfessionalEmployerClientExclEndors,Montana Employee Leasing/Professional Employer Client Exclusion Endorsement
WCMLine,WCMEmplLeasingProfessionalEmployerClientExclEndors,Florida Non-Cooperation With Premium Audit Endorsement
WCMLine,WCMEmployersLiabCovAmendatoryEndorsement,Oklahoma Employers Liability Amended Coverage Endorsement
WCMLine,WCMProfessionalEmployerOrganizationMultipleCoordi1,Nebraska Professional Employer Organization (PEO) Multiple Coordinated Policy Endorsement For Policy Covering The Client
WCMLine,WCMRealEstateManageEndorsement,Real Estate Management Endorsement - Pennsylvania
WCMLine,WCMProfessionalEmployerOrganizationExecutiveEmplEx,Texas Professional Employer Organization (PEO) Executive Employee Exclusion Endorsement
WCMLine,WCMDesignatedNamedInsuredCancellationEndorsement,Wisconsin Designated Named Insured Cancellation Endorsement
WCMLine,WCMMedicalBenefitsExcl,Medical Benefits Exclusion
WCMLine,WCMSafetyIncentiveCredit_Ext,Safety Incentive Program Premium Credit
WCMLine,WCMRegulatorySurcharge,Regulatory Surcharge
WCMLine,WCMExclOfExecutiveOfficersEndorsement,Exclusion Of Executive Officers Endorsement - Pennsylvania
WCMLine,WCMPendingLossCostAndAssignedRiskRateEndorsement,Tennessee Pending Loss Cost And Assigned Risk Rate Endorsement
WCMLine,WCMVolunteerWorkerEndorsement,Volunteer Workers Endorsement
WCMLine,WCMSelfInsurancePlanTermination_Ext,Self-Insurance Plan Termination
WCMLine,WCMProfessionalEmployerOrganizationMasterPolicyEnd,Professional Employer Organization (PEO) Master Policy Endorsement
WCMLine,WCMOptionalOccupationalDiseaseCovForFirstResponder,West Virginia Optional Occupational Disease Coverage For First Responder Post-Traumatic Stress Disorder Endorsement
WCMLine,WCMFireAndCasualtySurcharge,Fire And Casualty Surcharge
WCMLine,WCMDepartmentOfIndustrialAccidentAssessment,Department Of Industrial Accident Assessment
WCMLine,WCMSoleProprietorsPartnersOfficersMembersOfLLCAndO,"IL Sole Proprietors,Partners,Officers,Members Of LLC,And Other Excluded Employees And Employments Exclusion Endorsement"
WCMLine,WCMCertifiedWorkplaceMedicalPlan,Certified Workplace Medical Plan
WCMLine,WCMPartnershipCoverageExclEndorsementCA,California Partnership Coverage Exclusion Endorsement
WCMLine,WCMIncrLmtsForDomesticServant,Incr Limits For Domestic Servants
WCMLine,WCMLaborContractorEndorsementA,Labor Contractor Endorsement
WCMLine,WCMProfessionalEmployerOrganizationClientEndorseme,Texas Professional Employer Organization (PEO) Client Endorsement
WCMLine,WCMWorkersCompensationFraudAccountCA,State Fraud Investigation and Prosecution Surcharge
WCMLine,WCMDefenseBaseActCovEndorsementA,Defense Base Act Coverage Endorsement
WCMLine,WCMPrincipalAsAdditionalInsured,Principal As Additional Insured - Pennsylvania
WCMLine,WCMSafetyIncentivePlan,Safety Incentive Plan
WCMLine,WCMCAInsuranceGuaranteeAssociation,California Insurance Guarantee Association
WCMLine,WCMWorkplaceSafetyCredit,Workplace Safety Credit
WCMLine,WCMAccidentDedEndorsement,Texas Accident Deductible Endorsement
WCMLine,WCMPerClaimBenefitsDedEndorsement,Per Claimant Benefits Deductible Endorsement
WCMLine,WCMSecondInjuryFund,Second Injury Fund
WCMLine,WCMFlexibleRatingAdjustment,Flexible Rating Adjustment
WCMLine,WCMReturntoWorkCredit_Ext,Return-To-Work Program Premium Credit
WCMLine,WCMSoleProprietorsPartnersOfficersAndOthersCovEndo,"Sole Proprietors, Partners, Officers And Others Coverage Endorsement"
WCMLine,WCMUSLHAssessment,USLH Assessment
WCMLine,WCMRateChangeEndorsement,Rate Change Endorsement
WCMLine,WCMMultiPolicyCredit_Ext,Multi-Policy Credit
WCMLine,WCMMEBoardAdministrativeFund,Maine Board Administrative Fund
WCMLine,WCMDesignatedEmplExcl,Designated Employees Exclusion
WCMLine,WCMNotificationEndorsement,Hawaii Notification Endorsement
WCMLine,WCMLaborContractorProfessionalEmployerOrganization,Montana Labor Contractor/Professional Employer Organization Exclusion Endorsement
WCMLine,WCMPropertyAndCasualtyGuarantyAssociationEndorseme,Missouri Property and Casualty Guaranty Association Notification Endorsement
WCMLine,WCMQualifiedLossManageProgramEndorsement,Massachusetts Qualified Loss Management Program Endorsement
WCMLine,WCMDesigSiteCovEndorsement_Ext,Designated Construction Site Coverage Endorsement - MI
WCMLine,WCMOutstandingRateDecreaseIncrease_Ext,Outstanding Rate Decrease/Increase
WCMLine,WCMSupplementalBenefitsFundEndorsement,Maine Supplemental Benefits Fund Endorsement
WCMLine,WCMStrikeDuty,Strike Duty
WCMLine,WCMNYConstructionClassificationPremiumAdjustment_Ext,New York Construction Classification Premium Adjustment Endorsement
WCMLine,WCMForeignCovEndorsement,Foreign Coverage Endorsement - Wisconsin
WCMLine,WCMAlternateEmployerEndorsementA,Alternate Employer Endorsement
WCMLine,WCMNonratableIncrLmts,Nonratable Incr Limits
WCMLine,WCMBalanceToMinPremium,Balance To Minimum Premium
WCMLine,WCMAssumptionOfLiabEndorsement,Assumption Of Liability Endorsement
WCMLine,WCMPolicyDefinitionEndorsement,Massachusetts Policy Definition Endorsement
WCMLine,WCMSafetyCertification,Safety Certification
WCMLine,WCMExpansionEndorsement_EXT,Workers Compensation Expansion Endorsement
WCMLine,WCMPerAccidentOrPerDiseaseBenefitsDedEndorsement,New Hampshire Per Accident Or Per Disease Benefits Deductible Endorsement
WCMLine,WCMPolicyInformationPageEndorsement,Policy Information Page Endorsement
WCMLine,WCMLongshoreAndHarborWCMensationActCovEndorsementA,Longshore And Harbor Workers' Compensation Act Coverage Endorsement
WCMLine,WCMFedEmployersLiabActCovEndorsementA,Federal Employers' Liability Act Coverage Endorsement
WCMLine,WCMPackageCredit,Package Credit
WCMLine,WCMModeledRatingFactor,Modeled Rating Factor
WCMLine,WCMMultipleCoordinatedPolicyEndorsement,Multiple Coordinated Policy Endorsement
WCMLine,WCMWorkBasedLearningProgramPremiumCredit,Work Based Learning Program Premium Credit
WCMLine,WCMLargeRiskAltRatingOption,Large Risk Alterative Rating Option (LRARO)
WCMLine,WCMInclusionExecOfficerEndorsement_Ext,New York Inclusion of Executive Officer Endorsement
WCMLine,WCMEmployerPaidMedicalEndorsement,Employer-Paid Medical Endorsement
WCMLine,WCMNYStateAssessment_Ext,State Assessment
WCMLine,WCMPartnersOfficersAndOthersExclEndorsement,"Partners, Officers And Others Exclusion Endorsement"
WCMLine,WCMStatePremiumDiscount,State Premium Discount
WCMLine,WCMDesignatedMedicalProvider,Designated Medical Provider
WCMLine,WCMNetworkCredit,Network Credit
WCMLine,WCMRuralElectrificationCooperativeLoanedEmplEndors,Wisconsin Rural Electrification Cooperative Loaned Employee Endorsement
WCMLine,WCMMNSpecialCompFundAssmt,Minnesota Special Compensation Fund Assessment
WCMLine,WCMAdvanceNoticeOfCancellationToTheProfessionalEmp,Texas Advance Notice Of Cancellation To The Professional Employer Organization (PEO)
WCMLine,WCMStateFedEmployersLiabActIncrLmtsMinPremium,State Federal Employers Liability Act Incr Limits Minimum Premium
WCMLine,WCMProfessionalEmployerOrganizationEndorsement,Professional Employer Organization Endorsement
WCMLine,WCMComprehensivePersonalLiabExcl,Comprehensive Personal Liability Policy Exclusion
WCMLine,WCMEmplInsuredGenlEmployerExcl,Employee Insured by General Employer Excluded
WCMLine,WCMSupplementalDiseasePremium,Supplemental Disease Premium
WCMLine,WCMSmallDedEndorsement,Iowa Medical Deductible Program-Carrier Reimbursed Deductible Endorsement
WCMLine,WCMCatastropheOthThanCertifiedActsOfTerrPremiumEnd,Catastrophe (Other Than Certified Acts of Terrorism) Premium Endorsement
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsementC,Blanket Waiver of Subrogation
WCMLine,ILKoteckiWaiver,Illinois Kotecki Waiver
WCMLine,WCMEmplLeasingClientEndorsement,Employee Leasing Client Endorsement
WCMLine,WCMNoticeOfMaterialChangeEndorsement,Texas Notice Of Material Change Endorsement
WCMLine,WCMEmplLeasingCompanyEndorsement,Wisconsin Employee Leasing Company Endorsement - Master Policy
WCMLine,WCMGroupPurchaseOfWCMensationInsuranceEndorsement,Texas Group Purchase Of Workers Compensation Insurance Endorsement
WCMLine,WCMLossCostChangeEndorsement,Kansas Loss Cost Change Endorsement
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement4,Waiver Of Our Right To Recover From Others Endorsement Detail Minimum Premium
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement5,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Non Ratable
WCMLine,WCMLimLiabCovExclEndorsementCA,California Limited Liability Coverage/Exclusion Endorsement
WCMLine,WCMLaborContractorRestrCvgClientWorker,Labor Contractor as Named Insured - Restriction of Coverage to Client Workers
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement2,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Admiralty And FELA
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsement3,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Non Admiralty And FELA
WCMLine,WCMNoticeOfCancellationClause_Ext,Notice of Cancellation Clause
WCMLine,WCMClassClassCode,Class Class Code
WCMLine,WCMDesignatedOperations,Designated Operations Coverage
WCMLine,WCMSafetyDevice,Safety Device Coverage
WCMLine,WCMForeignVoluntaryCompensationAndEmployersLiabCov,Foreign Voluntary Compensation And Employers Liability Coverage Endorsement
WCMLine,WCMPEOExclEndorsement,Virginia PEO Exclusion Endorsement
WCMLine,WCMInsufficientFundsEndorsement,Florida Insufficient Funds Endorsement
WCMLine,WCMUninsuredEmployer,Uninsured Employer
WCMLine,WCMExpenseConstant,Expense Constant
WCMLine,WCMExclOfCovForLeasedEmplsEndorsement,Massachusetts Exclusion Of Coverage For Leased Employees Endorsement (Labor Contractors)
WCMLine,WCMEmplLeasingLaborContractorExclEndorsement,New Jersey Employee Leasing Labor Contractor Exclusion Endorsement
WCMLine,WCMDedEndorsement,Deductible Endorsement
WCMLine,WCMQualifiedLossManageProgram,Qualified Loss Management Program
WCMLine,WCMNorthAmericanIndustryClassificationSystem,North American Industry Classification System
WCMLine,WCMNotificationOfChangeInOwnershipEndorsement,90-Day Reporting Requirement-Notification Of Change In Ownership Endorsement
WCMLine,WCMAtomicEnergyRadiation,Atomic Energy Radiation
WCMLine,WCMEmplLeasingExclEndorsement,Employee Leasing Company Exclusion Endorsement
WCMLine,WCMDesignatedLocations,Designated Locations Coverage
WCMLine,WCMFedEmployersLiabAct,Federal Employers Liability Act
WCMLine,WCMExemptEmplsCovEndorsement,Texas Exempt Employees Coverage Endorsement
WCMLine,WCMInsuranceCoAsInsuredExcl,Insurance Company as Insured Exclusion
WCMLine,WCMMOSecondInjFundSupplementalSurcharge,Second Injury Fund Supplemental Surcharge
WCMLine,WCMPEOEndorsement,Virginia PEO Endorsement
WCMLine,WCMLaborContractorLCFDesignRestrCvgClientWorker,Labor Contractor as Named Insured with LCF Designation - Client Worker Restriction
WCMLine,WCMNoticeOfCancellation,Cancellation And Non-Renewal Endorsement
WCMLine,WCMIndustrialAssessment,Industrial Assessment
WCMLine,WCMFedCoalMineHealthAndSafetyActCovEndorsement,Federal Mine Safety And Health Act Coverage Endorsement
WCMLine,WCMFranchisorFranchiseeAgreementTerminationEndorse,Wisconsin Franchisor - Franchisee Agreement Termination Endorsement
WCMLine,WCMManagedCare,Managed Care
WCMLine,WCMClassMineClassCode,Class Mine Class Code
WCMLine,WCMEmplLeasingClientExclEndorsement1,Employee Leasing Client Exclusion Endorsement
WCMLine,WCMAdmiralty,Admiralty
WCMLine,WCMPremiumAssessment,Premium Assessment
WCMLine,WCMEmployingPreviouslyInjuredEmpls,Employing Previously Injured Employees
WCMLine,WCMWCMensationFundsEndorsement,Connecticut Workers Compensation Funds Endorsement
WCMLine,WCMMedicalBenefitsDedEndorsement,Medical Benefits Deductible Endorsement
WCMLine,WCMProfessionalEmployerOrganizationClientExclEndor,Professional Employer Organization (PEO) Client Exclusion Endorsement
WCMLine,WCMPolicyPeriodEndorsement,Policy Period Endorsement
WCMLine,WCMRuralUtilitiesServiceEndorsementB,Rural Utilities Service Endorsement
WCMLine,WCMFVCAndEmployersLiabilityCoverageEndorsement,Foreign Voluntary Compensation And Employers Liability Coverage Endorsement
WCMLine,WCMSubsequentInjuriesBenefitsTrustFundCA,Subsequent Injuries Benefit Trust Fund
WCMLine,WCMInsuranceGuarantyAssociationSurchargeEndorsemen,Florida Workers Compensation Insurance Guaranty Association Surcharge Endorsement
WCMLine,WCMFVWCAndEmployersLiability,Foreign Voluntary Workers Compensation And Employers Liability
WCMLine,WCMLaborEnforcementandComplianceFundCA,Labor Enforcement and Compliance Fund
WCMLine,WCMRuralElectrificationAdministrationEndorsementA,Rural Utilities Service Endorsement
WCMLine,WCMFedEmployersLiabActIncrLmts,Federal Employers Liability Act Incr Limits
WCMLine,WCMJointlyConductedOpsExcl,Jointly Conducted Operations Exclusion
WCMLine,WCMEmplLeasingMasterPolicyBasisEndorsement,Nevada Employee Leasing Master Policy Basis Endorsement
WCMLine,WCMExecOfficerEndorsExclusion_Ext,New York Exclusion of Executive Officer Endorsement
WCMLine,WCMBroadFormEmployersLiability,WV Broad Form Employers Liability (Mandolidis)
WCMLine,WCMLaborContractorExclLeasedEmpl,Labor Contractor as Named Insured - Exclusion of Leased Employees
WCMLine,WCMContractingClass,Contracting Class
WCMLine,WCMOccupationalSafetyAndHealthRegulatoryAssessment,Occupational Safety And Health Regulatory Assessment Surcharge
WCMLine,WCMVTAdministrativeFund,VT Workers Compensation Administrative Fund
WCMLine,WCMPoliceFiremenCountiesCitiesTownsAndBoroughEndor,"Policemen/Firemen-Counties, Cities, Towns And Boroughs Endorsement - Pennsylvania"
WCMLine,WCMStateExpenseConstantMinPremium,State Expense Constant Minimum Premium
WCMLine,WCMStopGap,Stop Gap
WCMLine,WCMVoluntaryCompensationAndEmployersLiabCovEndorse,Voluntary Compensation And Employers Liability Coverage Endorsement
WCMLine,WCMMaritimeCovEndorsementA,Maritime Coverage Endorsement
WCMLine,WCMWaiverOfOurRightToRecoverFromOthersEndorsementM,Waiver Of Our Right To Recover From Others Endorsement Detail Minimum Premium Coverage
WCMLine,WCM_ORResidualMarketlimit1,Oregon Residual Market Limited Other States Insurance Endorsement
