LOB,CoverageName,CoverageCode
WCMLine,Workers Compensation And Employers Liability Coverage For Residence Employees Endorsement,WCMWCMensationAndEmployersLiabCovForResidenceEmpls
WCMLine,Employers Liability,WCMEmployersLiab
WCMLine,Wisconsin Franchisor - Franchisee Coverage Endorsement,WCMFranchisorFranchiseeCovEndorsement
WCMLine,Designated Construction Site Exclusion Endorsement - MI,WCMDesigSiteExclEndors_Ext
WCMLine,Domestic And Agricultural Workers Exclusion Endorsement,WCMDomesticAndAgriculturalWorkersExclEndorsement
WCMLine,West Virginia Broad Form Employers Liability Endorsement,WCMWVBroadFormEmployersLiabilityEndorsement
WCMLine,Construction Classification Premium Adjustment Endorsement,WCMConstructionClassificationPremiumAdjustmentEndo
WCMLine,Limited Maritime Coverage Endorsement,WCMLmtdMaritimeCovEndorsement
WCMLine,Amendatory Endorsement,WCMAmendatoryEndorsement1
WCMLine,Merit Rating,WCMMeritRating
WCMLine,Terrorism Risk Insurance Program Reauthorization Act Disclosure Endorsement,WCMTerrRiskInsuranceProgramReauthorizationActDiscl
WCMLine,Connecticut Application Of Workers Compensation Insurance Endorsement,WCMApplicationOfWCMensationInsuranceEndorsement
WCMLine,Employee Leasing Client Exclusion Endorsement,WCMEmplLeasingClientExclEndorsement
WCMLine,Insolvent Insurer Rating Adjustment Plan Endorsement,WCMInsolventInsurerRatingAdjPlanEndorsement
WCMLine,Employee Leasing Company Exclusion Endorsement,WCMEmplLeasingCompanyExclEndorsement
WCMLine,Consent to Rate,WCMConsentToRate
WCMLine,Kentucky Rejection Of Coverage Endorsement,WCMRejectionOfCovEndorsement
WCMLine,Notice Of Cancellation Or Material Coverage Change To Designated Governmental Entity Endorsement,WCMNoticeOfCancellationOrMaterialCovChange
WCMLine,Montana Employee Leasing/Professional Employer Client Exclusion Endorsement,WCMEmplLeasingProfessionalEmployerClientExclEndors
WCMLine,Florida Non-Cooperation With Premium Audit Endorsement,WCMFloridaNonCooperationWithPremiumEndorsement
WCMLine,Oklahoma Employers Liability Amended Coverage Endorsement,WCMEmployersLiabCovAmendatoryEndorsement
WCMLine,Nebraska Professional Employer Organization (PEO) Multiple Coordinated Policy Endorsement For Policy Covering The Client,WCMProfessionalEmployerOrganizationMultipleCoordi1
WCMLine,Real Estate Management Endorsement - Pennsylvania,WCMRealEstateManageEndorsement
WCMLine,Regulatory Surcharge,WCMRegulatorySurcharge
WCMLine,Safety Incentive Program Premium Credit,WCMSafetyIncentiveCredit_Ext
WCMLine,Texas Professional Employer Organization (PEO) Executive Employee Exclusion Endorsement,WCMProfessionalEmployerOrganizationExecutiveEmplEx
WCMLine,Medical Benefits Exclusion,WCMMedicalBenefitsExcl
WCMLine,Exclusion Of Executive Officers Endorsement - Pennsylvania,WCMExclOfExecutiveOfficersEndorsement
WCMLine,Tennessee Pending Loss Cost And Assigned Risk Rate Endorsement,WCMPendingLossCostAndAssignedRiskRateEndorsement
WCMLine,Volunteer Workers Endorsement,WCMVolunteerWorkerEndorsement
WCMLine,Professional Employer Organization (PEO) Master Policy Endorsement,WCMProfessionalEmployerOrganizationMasterPolicyEnd
WCMLine,Fire And Casualty Surcharge,WCMFireAndCasualtySurcharge
WCMLine,Department Of Industrial Accident Assessment,WCMDepartmentOfIndustrialAccidentAssessment
WCMLine,"IL Sole Proprietors,Partners,Officers,Members Of LLC,And Other Excluded Employees And Employments Exclusion Endorsement",WCMSoleProprietorsPartnersOfficersMembersOfLLCAndO
WCMLine,Certified Workplace Medical Plan,WCMCertifiedWorkplaceMedicalPlan
WCMLine,California Partnership Coverage Exclusion Endorsement,WCMPartnershipCoverageExclEndorsementCA
WCMLine,Labor Contractor Endorsement,WCMLaborContractorEndorsementA
WCMLine,Incr Limits For Domestic Servants,WCMIncrLmtsForDomesticServant
WCMLine,Texas Professional Employer Organization (PEO) Client Endorsement,WCMProfessionalEmployerOrganizationClientEndorseme
WCMLine,Defense Base Act Coverage Endorsement,WCMDefenseBaseActCovEndorsementA
WCMLine,State Fraud Investigation and Prosecution Surcharge,WCMWorkersCompensationFraudAccountCA
WCMLine,Principal As Additional Insured - Pennsylvania,WCMPrincipalAsAdditionalInsured
WCMLine,Safety Incentive Plan,WCMSafetyIncentivePlan
WCMLine,Workplace Safety Credit,WCMWorkplaceSafetyCredit
WCMLine,California Insurance Guarantee Association,WCMCAInsuranceGuaranteeAssociation
WCMLine,Texas Accident Deductible Endorsement,WCMAccidentDedEndorsement
WCMLine,Second Injury Fund,WCMSecondInjuryFund
WCMLine,Per Claimant Benefits Deductible Endorsement,WCMPerClaimBenefitsDedEndorsement
WCMLine,Flexible Rating Adjustment,WCMFlexibleRatingAdjustment
WCMLine,Return-To-Work Program Premium Credit,WCMReturntoWorkCredit_Ext
WCMLine,USLH Assessment,WCMUSLHAssessment
WCMLine,"Sole Proprietors, Partners, Officers And Others Coverage Endorsement",WCMSoleProprietorsPartnersOfficersAndOthersCovEndo
WCMLine,Rate Change Endorsement,WCMRateChangeEndorsement
WCMLine,Maine Board Administrative Fund,WCMMEBoardAdministrativeFund
WCMLine,Designated Employees Exclusion,WCMDesignatedEmplExcl
WCMLine,Hawaii Notification Endorsement,WCMNotificationEndorsement
WCMLine,Montana Labor Contractor/Professional Employer Organization Exclusion Endorsement,WCMLaborContractorProfessionalEmployerOrganization
WCMLine,Missouri Property and Casualty Guaranty Association Notification Endorsement,WCMPropertyAndCasualtyGuarantyAssociationEndorseme
WCMLine,Massachusetts Qualified Loss Management Program Endorsement,WCMQualifiedLossManageProgramEndorsement
WCMLine,Designated Construction Site Coverage Endorsement - MI,WCMDesigSiteCovEndorsement_Ext
WCMLine,Outstanding Rate Decrease/Increase,WCMOutstandingRateDecreaseIncrease_Ext
WCMLine,Maine Supplemental Benefits Fund Endorsement,WCMSupplementalBenefitsFundEndorsement
WCMLine,Strike Duty,WCMStrikeDuty
WCMLine,New York Construction Classification Premium Adjustment Endorsement,WCMNYConstructionClassificationPremiumAdjustment_Ext
WCMLine,Foreign Coverage Endorsement - Wisconsin,WCMForeignCovEndorsement
WCMLine,Nonratable Incr Limits,WCMNonratableIncrLmts
WCMLine,Alternate Employer Endorsement,WCMAlternateEmployerEndorsementA
WCMLine,Balance To Minimum Premium,WCMBalanceToMinPremium
WCMLine,Assumption Of Liability Endorsement,WCMAssumptionOfLiabEndorsement
WCMLine,Massachusetts Policy Definition Endorsement,WCMPolicyDefinitionEndorsement
WCMLine,Safety Certification,WCMSafetyCertification
WCMLine,New Hampshire Per Accident Or Per Disease Benefits Deductible Endorsement,WCMPerAccidentOrPerDiseaseBenefitsDedEndorsement
WCMLine,Policy Information Page Endorsement,WCMPolicyInformationPageEndorsement
WCMLine,Longshore And Harbor Workers' Compensation Act Coverage Endorsement,WCMLongshoreAndHarborWCMensationActCovEndorsementA
WCMLine,Package Credit,WCMPackageCredit
WCMLine,Modeled Rating Factor,WCMModeledRatingFactor
WCMLine,Multiple Coordinated Policy Endorsement,WCMMultipleCoordinatedPolicyEndorsement
WCMLine,Work Based Learning Program Premium Credit,WCMWorkBasedLearningProgramPremiumCredit
WCMLine,Large Risk Alterative Rating Option (LRARO),WCMLargeRiskAltRatingOption
WCMLine,New York Inclusion of Executive Officer Endorsement,WCMInclusionExecOfficerEndorsement_Ext
WCMLine,Employer-Paid Medical Endorsement,WCMEmployerPaidMedicalEndorsement
WCMLine,State Assessment,WCMNYStateAssessment_Ext
WCMLine,"Partners, Officers And Others Exclusion Endorsement",WCMPartnersOfficersAndOthersExclEndorsement
WCMLine,State Premium Discount,WCMStatePremiumDiscount
WCMLine,Designated Medical Provider,WCMDesignatedMedicalProvider
WCMLine,Network Credit,WCMNetworkCredit
WCMLine,Minnesota Special Compensation Fund Assessment,WCMMNSpecialCompFundAssmt
WCMLine,Wisconsin Rural Electrification Cooperative Loaned Employee Endorsement,WCMRuralElectrificationCooperativeLoanedEmplEndors
WCMLine,Texas Advance Notice Of Cancellation To The Professional Employer Organization (PEO),WCMAdvanceNoticeOfCancellationToTheProfessionalEmp
WCMLine,Professional Employer Organization Endorsement,WCMProfessionalEmployerOrganizationEndorsement
WCMLine,State Federal Employers Liability Act Incr Limits Minimum Premium,WCMStateFedEmployersLiabActIncrLmtsMinPremium
WCMLine,Comprehensive Personal Liability Policy Exclusion,WCMComprehensivePersonalLiabExcl
WCMLine,Employee Insured by General Employer Excluded,WCMEmplInsuredGenlEmployerExcl
WCMLine,Supplemental Disease Premium,WCMSupplementalDiseasePremium
WCMLine,Iowa Medical Deductible Program-Carrier Reimbursed Deductible Endorsement,WCMSmallDedEndorsement
WCMLine,Catastrophe (Other Than Certified Acts of Terrorism) Premium Endorsement,WCMCatastropheOthThanCertifiedActsOfTerrPremiumEnd
WCMLine,Blanket Waiver of Subrogation,WCMWaiverOfOurRightToRecoverFromOthersEndorsementC
WCMLine,Illinois Kotecki Waiver,ILKoteckiWaiver
WCMLine,Employee Leasing Client Endorsement,WCMEmplLeasingClientEndorsement
WCMLine,Texas Notice Of Material Change Endorsement,WCMNoticeOfMaterialChangeEndorsement
WCMLine,Wisconsin Employee Leasing Company Endorsement - Master Policy,WCMEmplLeasingCompanyEndorsement
WCMLine,Texas Group Purchase Of Workers Compensation Insurance Endorsement,WCMGroupPurchaseOfWCMensationInsuranceEndorsement
WCMLine,Kansas Loss Cost Change Endorsement,WCMLossCostChangeEndorsement
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail Minimum Premium,WCMWaiverOfOurRightToRecoverFromOthersEndorsement4
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Non Ratable,WCMWaiverOfOurRightToRecoverFromOthersEndorsement5
WCMLine,California Limited Liability Coverage/Exclusion Endorsement,WCMLimLiabCovExclEndorsementCA
WCMLine,Labor Contractor as Named Insured - Restriction of Coverage to Client Workers,WCMLaborContractorRestrCvgClientWorker
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Admiralty And FELA,WCMWaiverOfOurRightToRecoverFromOthersEndorsement2
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail Coverage Non Admiralty And FELA,WCMWaiverOfOurRightToRecoverFromOthersEndorsement3
WCMLine,Notice of Cancellation Clause,WCMNoticeOfCancellationClause_Ext
WCMLine,Class Class Code,WCMClassClassCode
WCMLine,Designated Operations Coverage,WCMDesignatedOperations
WCMLine,Safety Device Coverage,WCMSafetyDevice
WCMLine,Foreign Voluntary Compensation And Employers Liability Coverage Endorsement,WCMForeignVoluntaryCompensationAndEmployersLiabCov
WCMLine,Virginia PEO Exclusion Endorsement,WCMPEOExclEndorsement
WCMLine,Florida Insufficient Funds Endorsement,WCMInsufficientFundsEndorsement
WCMLine,Uninsured Employer,WCMUninsuredEmployer
WCMLine,Expense Constant,WCMExpenseConstant
WCMLine,Massachusetts Exclusion Of Coverage For Leased Employees Endorsement (Labor Contractors),WCMExclOfCovForLeasedEmplsEndorsement
WCMLine,New Jersey Employee Leasing Labor Contractor Exclusion Endorsement,WCMEmplLeasingLaborContractorExclEndorsement
WCMLine,Deductible Endorsement,WCMDedEndorsement
WCMLine,Qualified Loss Management Program,WCMQualifiedLossManageProgram
WCMLine,North American Industry Classification System,WCMNorthAmericanIndustryClassificationSystem
WCMLine,90-Day Reporting Requirement-Notification Of Change In Ownership Endorsement,WCMNotificationOfChangeInOwnershipEndorsement
WCMLine,Atomic Energy Radiation,WCMAtomicEnergyRadiation
WCMLine,Employee Leasing Company Exclusion Endorsement,WCMEmplLeasingExclEndorsement
WCMLine,Designated Locations Coverage,WCMDesignatedLocations
WCMLine,Federal Employers Liability Act,WCMFedEmployersLiabAct
WCMLine,Texas Exempt Employees Coverage Endorsement,WCMExemptEmplsCovEndorsement
WCMLine,Insurance Company as Insured Exclusion,WCMInsuranceCoAsInsuredExcl
WCMLine,Second Injury Fund Supplemental Surcharge,WCMMOSecondInjFundSupplementalSurcharge
WCMLine,Virginia PEO Endorsement,WCMPEOEndorsement
WCMLine,Labor Contractor as Named Insured with LCF Designation - Client Worker Restriction,WCMLaborContractorLCFDesignRestrCvgClientWorker
WCMLine,Cancellation And Non-Renewal Endorsement,WCMNoticeOfCancellation
WCMLine,Industrial Assessment,WCMIndustrialAssessment
WCMLine,Wisconsin Franchisor - Franchisee Agreement Termination Endorsement,WCMFranchisorFranchiseeAgreementTerminationEndorse
WCMLine,Federal Mine Safety And Health Act Coverage Endorsement,WCMFedCoalMineHealthAndSafetyActCovEndorsement
WCMLine,Managed Care,WCMManagedCare
WCMLine,Class Mine Class Code,WCMClassMineClassCode
WCMLine,Employee Leasing Client Exclusion Endorsement,WCMEmplLeasingClientExclEndorsement1
WCMLine,Admiralty,WCMAdmiralty
WCMLine,Premium Assessment,WCMPremiumAssessment
WCMLine,Employing Previously Injured Employees,WCMEmployingPreviouslyInjuredEmpls
WCMLine,Connecticut Workers Compensation Funds Endorsement,WCMWCMensationFundsEndorsement
WCMLine,Medical Benefits Deductible Endorsement,WCMMedicalBenefitsDedEndorsement
WCMLine,Professional Employer Organization (PEO) Client Exclusion Endorsement,WCMProfessionalEmployerOrganizationClientExclEndor
WCMLine,Policy Period Endorsement,WCMPolicyPeriodEndorsement
WCMLine,Rural Utilities Service Endorsement,WCMRuralUtilitiesServiceEndorsementB
WCMLine,Foreign Voluntary Compensation And Employers Liability Coverage Endorsement,WCMFVCAndEmployersLiabilityCoverageEndorsement
WCMLine,Subsequent Injuries Benefit Trust Fund,WCMSubsequentInjuriesBenefitsTrustFundCA
WCMLine,Florida Workers Compensation Insurance Guaranty Association Surcharge Endorsement,WCMInsuranceGuarantyAssociationSurchargeEndorsemen
WCMLine,Foreign Voluntary Workers Compensation And Employers Liability,WCMFVWCAndEmployersLiability
WCMLine,Labor Enforcement and Compliance Fund,WCMLaborEnforcementandComplianceFundCA
WCMLine,Rural Utilities Service Endorsement,WCMRuralElectrificationAdministrationEndorsementA
WCMLine,Federal Employers Liability Act Incr Limits,WCMFedEmployersLiabActIncrLmts
WCMLine,Jointly Conducted Operations Exclusion,WCMJointlyConductedOpsExcl
WCMLine,Nevada Employee Leasing Master Policy Basis Endorsement,WCMEmplLeasingMasterPolicyBasisEndorsement
WCMLine,New York Exclusion of Executive Officer Endorsement,WCMExecOfficerEndorsExclusion_Ext
WCMLine,WV Broad Form Employers Liability (Mandolidis),WCMBroadFormEmployersLiability
WCMLine,Labor Contractor as Named Insured - Exclusion of Leased Employees,WCMLaborContractorExclLeasedEmpl
WCMLine,Contracting Class,WCMContractingClass
WCMLine,Occupational Safety And Health Regulatory Assessment Surcharge,WCMOccupationalSafetyAndHealthRegulatoryAssessment
WCMLine,VT Workers Compensation Administrative Fund,WCMVTAdministrativeFund
WCMLine,"Policemen/Firemen-Counties, Cities, Towns And Boroughs Endorsement - Pennsylvania",WCMPoliceFiremenCountiesCitiesTownsAndBoroughEndor
WCMLine,State Expense Constant Minimum Premium,WCMStateExpenseConstantMinPremium
WCMLine,Stop Gap,WCMStopGap
WCMLine,Voluntary Compensation And Employers Liability Coverage Endorsement,WCMVoluntaryCompensationAndEmployersLiabCovEndorse
WCMLine,Maritime Coverage Endorsement,WCMMaritimeCovEndorsementA
WCMLine,Oregon Residual Market Limited Other States Insurance Endorsement,WCM_ORResidualMarketlimit1
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail Minimum Premium Coverage,WCMWaiverOfOurRightToRecoverFromOthersEndorsementM
WCMLine,Certified Risk Management Program,WCMCertifiedRiskManageProgram
WCMLine,Apprenticeship Credit Program,WCMApprenticeshipCreditProgram
WCMLine,Waiver Of Our Right To Recover From Others Endorsement Detail,WCMWaiverOfOurRightToRecoverFromOthersEndorsementD
WCMLine,Coinsurance and Deductible Endorsement,WCMCoinsuranceAndDedEndorsement
WCMLine,Wisconsin Employee Leasing Company Client Mailing Address Endorsement,WCMEmplLeasingCompanyClientMailingAddressEndorseme
WCMLine,California Sole Proprietors Coverage Endorsement,WCMSolePropietorsCovEndorsementCA
WCMLine,Arkansas Contract Hauling Warranty Endorsement,WCMContractHaulingWarrantyEndorsement
WCMLine,New Mexico Workers Compensation Premium Adjustment Program For Qualifying Classifications Endorsement,WCMWCMensationPremiumAdjustmentProgramForQualifyin
WCMLine,Florida Employee Leasing Company Extension Endorsement,WCMEmplLeasingCompanyExtensionEndorsement
WCMLine,New Jersey Voluntary Compensation Federal Employers' Liability Act Coverage Endorsement,WCMVoluntaryCompensationFedEmployersLiabActCovEndo
WCMLine,New York Executive Officers Exclusion Endorsement,WCMExecutiveOfficerExclusion_Ext
WCMLine,Multiple Coordinated Policy Endorsement,WCMMultipleCoordinatedPolicyEndorsementA
WCMLine,Uninsured Employers Benefit Trust Fund,WCMUninsuredEmployersBenefitsTrustFundCA
WCMLine,Coinsurance Endorsement,WCMCoinsuranceEndorsement
WCMLine,Virginia Additional Benefits Endorsement,WCMAdditionalBenefitsEndorsement
